name_variable,code_variable
Serviços de transporte público municipal,1.1.1
Serviços de transporte público intermunicipal/ metropolitano,1.2.1
Serviços de transporte público por consórcio,1.2.2
Integração física,1.3.1
Nº de terminais rodoviários,1.4.1.A
Nº de estações metroferroviárias,1.4.1.B
"Terminais rodoviários acessíveis com rampas, plataformas de embarque em nível",1.4.1.C
"Estações metroferroviárias acessíveis com rampas, plataformas de embarque em nível",1.4.1.D
Terminais rodoviários acessíveis com informações para pessoas com deficiência visual,1.4.1.E
Estações metroferroviárias acessíveis com informações para pessoas com deficiência visual,1.4.1.F
Terminais rodoviários com integração física,1.4.1.G
Estações metroferroviárias com integração física,1.4.1.H
Pontos de embarque e desembarque,1.4.2
Pontos de embarque e desembarque com abrigo para usuários,1.4.3
Pontos de embarque e desembarque georreferenciados,1.4.4
website,1.4.4.A
Ônibus convencional: Número de veículos,1.5.1.A
Ônibus convencional: Capacidade média,1.5.1.B
Ônibus convencional: Nº de veículos de piso baixo,1.5.1.C
Ônibus convencional: Nº de veículos com plataforma elevatória,1.5.1.D
Ônibus articulado: Número de veículos,1.5.1.E
Ônibus articulado: Capacidade média,1.5.1.F
Ônibus articulado: Nº de veículos de piso baixo,1.5.1.G
Ônibus articulado: Nº de veículos com plataforma elevatória,1.5.1.H
Ônibus biarticulado: Número de veículos,1.5.1.I
Ônibus biarticulado: Capacidade média,1.5.1.J
Ônibus biarticulado: Nº de veículos de piso baixo,1.5.1.K
Ônibus biarticulado: Nº de veículos com plataforma elevatória,1.5.1.L
Vans: Número de veículos,1.5.1.M
Vans: Capacidade média,1.5.1.N
Táxi: Número de  veículos,1.5.1.O
Mototáxi: Número de veículos,1.5.1.P
Metrô: Número de veículos,1.5.1.Q
Metrô: Capacidade média,1.5.1.R
Trem: Número de veículos,1.5.1.S
Trem: Capacidade média,1.5.1.T
Barco: Número de veículos,1.5.1.U
Barco: Capacidade média,1.5.1.V
VLT: Número de veículos,1.5.1.W
VLT: Capacidade média,1.5.1.X
Monotrilho: Nº de veículos,1.5.1.Y
Monotrilho: Capacidade média,1.5.1.Z
Aeromóvel: Nº de veículos,1.5.1.AA
Aeromóvel: Capacidade média,1.5.1.AB
Frota de outros serviços de transporte: Fretamento,1.5.2.A
Frota de outros serviços de transporte: Transporte escolar,1.5.2.B
Vias onde apenas pedestres podem circular - permanente (km),1.6.1.A
Vias onde apenas pedestres podem circular - temporária (km),1.6.1.B
Calçadas - parte da via reservada ao trânsito de pedestre (km),1.6.1.C
Vias exclusivas para BRT's (km),1.6.1.D
Corredores de ônibus (km),1.6.1.E
Faixa exclusivas de ônibus (km),1.6.1.F
Ciclovias (km),1.6.1.G
Ciclofaixas (km),1.6.1.H
Metrô (km),1.6.1.I
Trem (km),1.6.1.J
VLT (km),1.6.1.K
Monotrilho (km),1.6.1.L
Aeromóvel (km),1.6.1.M
Km percorrida - Ônibus,1.7.1.A
Km percorrida - Vans/microônibus,1.7.1.B
Km percorrida - Metrô,1.7.1.C
Km percorrida - Trem,1.7.1.D
Km percorrida - Barco,1.7.1.E
Km percorrida - VLT,1.7.1.F
Km percorrida - Monotrilho,1.7.1.G
Km percorrida - Aeromóvel,1.7.1.H
velocidade média: BRT (Km/h),2.1.1.A
Velocidade média: Corredores de ônibus (Km/h),2.1.1.B
Velocidade média: Faixas exclusivas de ônibus (Km/h),2.1.1.C
Velocidade média: Metrô (Km/h),2.1.1.D
Velocidade média: Trem (Km/h),2.1.1.E
Velocidade média: VLT (Km/h),2.1.1.F
Velocidade média: Monotrilho (Km/h),2.1.1.G
Velocidade média:  Aeromóvel (Km/h),2.1.1.H
Velocidade média em tráfego misto (Km/h),2.1.2
Circulação de táxis nos corredores,2.2.1
Idade da frota: Ônibus,2.3.1.A
Idade da frota: Vans/microônibus,2.3.1.B
Idade da frota: Metrô,2.3.1.C
Idade da frota: Trem,2.3.1.D
Idade da frota: VLT,2.3.1.E
Idade da frota: Monotrilho,2.3.1.F
Idade da frota: Aeromóvel,2.3.1.G
Idade da frota: Táxi,2.3.1.H
Informações de itinerários - Terminais Rodoviários,2.4.1.A
Informações de horários - Terminais Rodoviários,2.4.1.B
Informações de tarifas - Terminais Rodoviários,2.4.1.C
Informações sobre integração - Terminais Rodoviários,2.4.1.D
Informações sobre itinerários - Estações metroferroviárias,2.4.1.E
Informações sobre horários - Estações metroferroviárias,2.4.1.F
Informações sobre tarifas - Estações metroferroviárias,2.4.1.G
Informações sobre integração - Estações metroferroviárias,2.4.1.H
Informações sobre itinerários - pontos de parada,2.4.2.A
Informações sobre horários - pontos de parada,2.4.2.B
Informações sobre tarifas - pontos de parada,2.4.2.C
Informações sobre integração - pontos de parada,2.4.2.D
Pesquisa de satisfação dos usuários,2.5.1
Ano de realização:,2.5.1.A
Website - Pesquisa de Satisfação,2.5.1.B
Possui informações sobre pontualidade e regularidade,2.6.1
Pontualidade - Ônibus,2.6.2.A
Pontualidade - Vans/microônibus,2.6.2.B
Pontualidade - Metrô,2.6.2.C
Pontualidade - Trem,2.6.2.D
Pontualidade - Barco,2.6.2.E
Pontualidade - VLT,2.6.2.F
Pontualidade- Monotrilho,2.6.2.G
Pontualidade - Aeromóvel,2.6.2.H
Viagens não completadas - Ônibus,2.6.2.I
Viagens não completadas - Vans/microônibus,2.6.2.J
Viagens não completadas - Metrô,2.6.2.K
Viagens não completadas - Trem,2.6.2.L
Viagens não completadas - Barco,2.6.2.M
Viagens não completadas - VLT,2.6.2.N
Viagens não completadas - Monotrilho,2.6.2.O
Viagens não completadas - Aeromóvel,2.6.2.P
Tarifa predominante (R$),3.1.1.A
valor anterior (R$),3.1.1.B
Último reajuste (mm/aaaa),3.1.1.C
Outros valores de tarifa existentes: - Descrição do serviço,3.1.2.A
Outros valores de tarifa existentes: -  Valor (R$):,3.1.2.B
Integração tarifária,3.1.3
Receita tarifária - Ônibus,3.2.1.A
Receita extratarifária - Ônibus,3.2.1.B
Receita tarifária - Vans/Microônibus,3.2.1.C
Receita extratarifária - Vans/Microônibus,3.2.1.D
Receita tarifária - Metrô,3.2.1.E
Receita extratarifária - Metrô,3.2.1.F
Receita tarifária - Trem,3.2.1.G
Receita extratarifária - Trem,3.2.1.H
Receita tarifária - Barco,3.2.1.I
Receita extratarifária - Barco,3.2.1.J
Receita tarifária - VLT,3.2.1.K
Receita extratarifária - VLT,3.2.1.L
Receita tarifária - Monotrilho,3.2.1.M
Receita extratarifária - Monotrilho,3.2.1.N
