code_variable,name_variable,label_pergunta,label,categoria,subcategoria,modal,submodal,tipo,is_dashboard,is_portal,is_transform,is_average,is_percentage,is_absolute,is_candidate
1.1.1,"Quais os serviços de transporte público urbano estão presentes no município, sob gestão da prefeitura, seja por operação direta ou por delegação?","Quais os serviços de transporte público urbano estão presentes no município, sob gestão da prefeitura, seja por operação direta ou por delegação?",Serviços de Transporte (adm. Prefeitura),Administrativo,Governança,NA,NA,text,0,0,0,0,0,0,1
1.2.1,"Quais os serviços de transporte público urbano estão presentes no município em que o Governo do Estado é responsável pela gestão, seja gestão direta ou indireta?","Quais os serviços de transporte público urbano estão presentes no município em que o Governo do Estado é responsável pela gestão, seja gestão direta ou indireta?",Serviços de Transporte (adm. Estado),Administrativo,Governança,NA,NA,text,0,0,0,0,0,0,1
1.2.2,"Quais os serviços de transporte público urbano estão presentes no município em que o Governo Federal é responsável pela gestão, seja gestão direta ou indireta?","Quais os serviços de transporte público urbano estão presentes no município em que o Governo Federal é responsável pela gestão, seja gestão direta ou indireta?",Serviços de Transporte (adm. União),Administrativo,Governança,NA,NA,text,0,0,0,0,0,0,1
1.2.3,"Quais os serviços de transporte público urbano estão presentes no município, sob gestão de um consórcio público ou de um convênio de cooperação para gestão do transporte metropolitano, seja de gestão direta ou indireta?","Quais os serviços de transporte público urbano estão presentes no município, sob gestão de um consórcio público ou de um convênio de cooperação para gestão do transporte metropolitano, seja de gestão direta ou indireta?",Serviços de Transporte (Concessão),Administrativo,Governança,NA,NA,text,0,0,0,0,0,0,1
1.3.1,Quais os tipos de integração física entre os diferentes modos de transporte urbano existem em seu município?,Quais os tipos de integração física entre os diferentes modos de transporte urbano existem em seu município?,Tipos de Integração Física,Modais de transporte,Integração,NA,NA,text,0,0,0,0,0,0,1
1.4.1.A,Qual o número total de terminais rodoviários no município?,Qual o número total de terminais rodoviários no município?,Número de Rodoviárias,Modais de transporte,Infraestrutura,NA,NA,numeric,0,1,0,0,0,1,1
1.4.1.B,"Qual o número total de terminais rodoviários acessíveis com rampas, plataformas de embarque em nível?","Qual o número total de terminais rodoviários acessíveis com rampas, plataformas de embarque em nível?","Número de Rodoviárias (acessibilidade, def. física)",Modais de transporte,Infraestrutura,NA,NA,numeric,0,1,0,0,0,1,1
1.4.1.C,Qual o número total de terminais rodoviários acessíveis com informações para pessoas com deficiência visual?,Qual o número total de terminais rodoviários acessíveis com informações para pessoas com deficiência visual?,"Número de Rodoviárias (acessibilidade, def. visual)",Modais de transporte,Infraestrutura,NA,NA,numeric,0,1,0,0,0,1,1
1.4.1.D,Qual o número total de terminais rodoviários com integração física?,Qual o número total de terminais rodoviários com integração física?,Número de Rodoviárias com Integração,Modais de transporte,Infraestrutura,NA,NA,numeric,0,1,0,0,0,1,1
1.4.1.E,Qual o número total de estações metroferroviárias no município?,Qual o número total de estações metroferroviárias no município?,Número de Metroviárias,Modais de transporte,Infraestrutura,NA,NA,numeric,0,1,0,0,0,1,1
1.4.1.F,"Qual o número total de estações metroferroviárias acessíveis com rampas, plataformas de embarque em nível?","Qual o número total de estações metroferroviárias acessíveis com rampas, plataformas de embarque em nível?","Número de Metroviárias (acessibilidade, def. física)",Modais de transporte,Infraestrutura,NA,NA,numeric,0,1,0,0,0,1,1
1.4.1.G,Qual o número total de estações metroferroviárias acessíveis com informações para pessoas com deficiência visual?,Qual o número total de estações metroferroviárias acessíveis com informações para pessoas com deficiência visual?,"Número de Metroviárias (acessibilidade, def. visual)",Modais de transporte,Infraestrutura,NA,NA,numeric,0,1,0,0,0,1,1
1.4.1.H,Qual o número total de estações metroferroviárias com integração física?,Qual o número total de estações metroferroviárias com integração física?,Número de Metroviárias com Intregração,Modais de transporte,Infraestrutura,NA,NA,numeric,0,1,0,0,0,1,1
1.4.2,"Qual o número total de pontos de embarque e desembarque, considerando todos os modos de transporte?","Qual o número total de pontos de embarque e desembarque, considerando todos os modos de transporte?",Pontos de Embarque/Desembarque (Total),Modais de transporte,Infraestrutura,NA,NA,numeric,0,1,0,0,0,1,1
1.4.3,"Qual o número total de pontos de embarque e desembarque com abrigo para usuários, considerando todos os modos de transporte?","Qual o número total de pontos de embarque e desembarque com abrigo para usuários, considerando todos os modos de transporte?",Pontos de Embarque com abrigo,Modais de transporte,Infraestrutura,NA,NA,numeric,1,1,1,0,0,1,1
1.4.4,"Qual o número total de pontos de embarque e desembarque com plataforma de embarque em nível para usuários, considerando todos os modos de transporte?","Qual o número total de pontos de embarque e desembarque com plataforma de embarque em nível para usuários, considerando todos os modos de transporte?",Pontos de Embarque (em nível),Modais de transporte,Infraestrutura,NA,NA,numeric,1,1,1,0,0,1,1
1.4.5,O município disponibiliza o local de pontos de embarque de desembarque georreferenciados na internet?,O município disponibiliza o local de pontos de embarque de desembarque georreferenciados na internet?,Pontos de Embarque Georreferenciados,Modais de transporte,Infraestrutura,NA,NA,binary,1,1,1,0,0,0,1
1.4.5.A,Em qual website é possível obter os pontos de embarque e desembarque georreferenciados?,Em qual website é possível obter os pontos de embarque e desembarque georreferenciados?,NA,Modais de transporte,Infraestrutura,NA,NA,text,0,0,0,0,0,0,1
1.5.1.A,Qual a frota de veículos operacionais de ônibus convencional no município?,Qual a frota de veículos operacionais de ônibus convencional no município?,Frota de ônibus,Modais de transporte,Frota,Ônibus,Ônibus convencional,numeric,0,1,1,0,0,1,1
1.5.1.B,Qual a capacidade média da frota de ônibus convencionais operacionais no município?,Qual a capacidade média da frota de ônibus convencionais operacionais no município?,Ônibus (capacidade média),Modais de transporte,Frota,Ônibus,Ônibus convencional,numeric,1,1,0,1,0,0,1
1.5.1.C,Qual o número de ônibus convencionais operacionais de piso baixo no município?,Qual o número de ônibus convencionais operacionais de piso baixo no município?,Ônibus (piso baixo),Modais de transporte,Frota,Ônibus,Ônibus convencional,numeric,1,1,1,0,0,1,1
1.5.1.D,Qual o número de ônibus convencionais operacionais com plataforma elevatória no município?,Qual o número de ônibus convencionais operacionais com plataforma elevatória no município?,Ônibus (com plataforma),Modais de transporte,Frota,Ônibus,Ônibus convencional,numeric,1,1,1,0,0,1,1
1.5.1.E,Qual a frota de veículos operacionais de ônibus articulado no município?,Qual a frota de veículos operacionais de ônibus articulado no município?,Frota de Ônibus Articulados,Modais de transporte,Frota,Ônibus,Ônibus articulado,numeric,1,1,1,0,0,1,1
1.5.1.F,Qual a capacidade média de ônibus articulado operacionais no município?,Qual a capacidade média de ônibus articulado operacionais no município?,Ônibus Articulados (capacidade média),Modais de transporte,Frota,Ônibus,Ônibus articulado,numeric,1,1,0,1,0,0,1
1.5.1.G,Qual o número de ônibus articulados operacionais de piso baixo?,Qual o número de ônibus articulados operacionais de piso baixo?,Ônibus Articulados (piso baixo),Modais de transporte,Frota,Ônibus,Ônibus articulado,numeric,1,1,1,0,0,1,1
1.5.1.H,Qual o número de ônibus articulados operacionais com plataforma elevatória no município?,Qual o número de ônibus articulados operacionais com plataforma elevatória no município?,Ônibus Articulados (com plataforma),Modais de transporte,Frota,Ônibus,Ônibus articulado,numeric,1,1,1,0,0,1,1
1.5.1.I,Qual a frota de veículos operacionais de ônibus biarticulado no município?,Qual a frota de veículos operacionais de ônibus biarticulado no município?,Frota de Ônibus Biarticulados,Modais de transporte,Frota,Ônibus,Ônibus biarticulado,numeric,1,1,1,0,0,1,1
1.5.1.J,Qual a capacidade média de ônibus biarticulado operacionais no município?,Qual a capacidade média de ônibus biarticulado operacionais no município?,Ônibus Biarticulados (cap. média),Modais de transporte,Frota,Ônibus,Ônibus biarticulado,numeric,1,1,0,1,0,0,1
1.5.1.K,Qual o número de ônibus biarticulados operacionais de piso baixo?,Qual o número de ônibus biarticulados operacionais de piso baixo?,Ônibus Biarticulados (piso baixo),Modais de transporte,Frota,Ônibus,Ônibus biarticulado,numeric,1,1,1,0,0,1,1
1.5.1.L,Qual o número de ônibus biarticulados operacionais com plataforma elevatória no município?,Qual o número de ônibus biarticulados operacionais com plataforma elevatória no município?,Ônibus Biarticulados (com plataforma),Modais de transporte,Frota,Ônibus,Ônibus biarticulado,numeric,1,1,1,0,0,1,1
1.5.1.M,Qual a frota de veículos operacionais de vans/microônibus no município?,Qual a frota de veículos operacionais de vans/microônibus no município?,Frota de Microônibus,Modais de transporte,Frota,Microônibus,NA,numeric,1,1,1,0,0,1,1
1.5.1.N,Qual a capacidade média da frota de vans/microônibus operacionais no município?,Qual a capacidade média da frota de vans/microônibus operacionais no município?,Microônibus (capacidade média),Modais de transporte,Frota,Microônibus,NA,numeric,1,1,0,1,0,0,1
1.5.1.O,Qual a frota de veículos operacionais de táxi no município?,Qual a frota de veículos operacionais de táxi no município?,Frota de Táxis,Modais de transporte,Frota,Táxi,NA,numeric,1,1,1,0,0,1,1
1.5.1.P,Qual a frota de veículos operacionais de mototáxi no município?,Qual a frota de veículos operacionais de mototáxi no município?,Frota de Mototáxis,Modais de transporte,Frota,Mototáxi,NA,numeric,1,1,1,0,0,1,1
1.5.1.Q,Qual a frota de veículos operacionais de metrô (composição) no município?,Qual a frota de veículos operacionais de metrô (composição) no município?,Frota (composição) de Metrôs,Modais de transporte,Frota,Metrô,NA,numeric,1,1,1,0,0,1,1
