code_variable,name_variable,label_pergunta,label,tipo,modal,is_dashboard,is_portal,is_transform,is_average,is_percentage,is_absolute,is_candidate,categoria
1.4.1.A,Qual o número total de terminais rodoviários no município?,Qual o número total de terminais rodoviários no município?,Número de Rodoviárias,numeric,NA,0,1,0,0,0,1,1,Infraestrutura
1.4.1.B,"Qual o número total de terminais rodoviários acessíveis com rampas, plataformas de embarque em nível?","Qual o número total de terminais rodoviários acessíveis com rampas, plataformas de embarque em nível?","Número de Rodoviárias (acessibilidade, def. física)",numeric,NA,0,1,0,0,0,1,1,Infraestrutura
1.4.1.C,Qual o número total de terminais rodoviários acessíveis com informações para pessoas com deficiência visual?,Qual o número total de terminais rodoviários acessíveis com informações para pessoas com deficiência visual?,"Número de Rodoviárias (acessibilidade, def. visual)",numeric,NA,0,1,0,0,0,1,1,Infraestrutura
1.4.1.D,Qual o número total de terminais rodoviários com integração física?,Qual o número total de terminais rodoviários com integração física?,Número de Rodoviárias com Integração,numeric,NA,0,1,0,0,0,1,1,Infraestrutura
1.4.1.E,Qual o número total de estações metroferroviárias no município?,Qual o número total de estações metroferroviárias no município?,Número de Metroviárias,numeric,NA,0,1,0,0,0,1,1,Infraestrutura
1.4.1.F,"Qual o número total de estações metroferroviárias acessíveis com rampas, plataformas de embarque em nível?","Qual o número total de estações metroferroviárias acessíveis com rampas, plataformas de embarque em nível?","Número de Metroviárias (acessibilidade, def. física)",numeric,NA,0,1,0,0,0,1,1,Infraestrutura
1.4.1.G,Qual o número total de estações metroferroviárias acessíveis com informações para pessoas com deficiência visual?,Qual o número total de estações metroferroviárias acessíveis com informações para pessoas com deficiência visual?,"Número de Metroviárias (acessibilidade, def. visual)",numeric,NA,0,1,0,0,0,1,1,Infraestrutura
1.4.1.H,Qual o número total de estações metroferroviárias com integração física?,Qual o número total de estações metroferroviárias com integração física?,Número de Metroviárias com Intregração,numeric,NA,0,1,0,0,0,1,1,Infraestrutura
1.4.2,"Qual o número total de pontos de embarque e desembarque, considerando todos os modos de transporte?","Qual o número total de pontos de embarque e desembarque, considerando todos os modos de transporte?",Pontos de Embarque/Desembarque (Total),numeric,NA,0,1,0,0,0,1,1,Infraestrutura
1.4.3,"Qual o número total de pontos de embarque e desembarque com abrigo para usuários, considerando todos os modos de transporte?","Qual o número total de pontos de embarque e desembarque com abrigo para usuários, considerando todos os modos de transporte?",Pontos de Embarque com abrigo,numeric,NA,1,1,1,0,0,1,1,Infraestrutura
