code_variable,name_variable,label_pergunta,tipo,is_dashboard,is_portal,is_average,is_percentage,is_absolute,label,categoria,subcategoria,modal
1.1.1,"Quais os serviços de transporte público urbano estão presentes no município, sob gestão da prefeitura, seja por operação direta ou por delegação?","Quais os serviços de transporte público urbano estão presentes no município, sob gestão da prefeitura, seja por operação direta ou por delegação?",text,0,0,0,0,0,Serviços de Transporte (adm. Prefeitura),missing,NA,NA
1.2.1,"Quais os serviços de transporte público urbano estão presentes no município em que o Governo do Estado é responsável pela gestão, seja gestão direta ou indireta?","Quais os serviços de transporte público urbano estão presentes no município em que o Governo do Estado é responsável pela gestão, seja gestão direta ou indireta?",text,0,0,0,0,0,Serviços de Transporte (adm. Estado),missing,NA,NA
1.2.2,"Quais os serviços de transporte público urbano estão presentes no município em que o Governo Federal é responsável pela gestão, seja gestão direta ou indireta?","Quais os serviços de transporte público urbano estão presentes no município em que o Governo Federal é responsável pela gestão, seja gestão direta ou indireta?",text,0,0,0,0,0,Serviços de Transporte (adm. União),missing,NA,NA
1.2.3,"Quais os serviços de transporte público urbano estão presentes no município, sob gestão de um consórcio público ou de um convênio de cooperação para gestão do transporte metropolitano, seja de gestão direta ou indireta?","Quais os serviços de transporte público urbano estão presentes no município, sob gestão de um consórcio público ou de um convênio de cooperação para gestão do transporte metropolitano, seja de gestão direta ou indireta?",text,0,0,0,0,0,Serviços de Transporte (Concessão),missing,NA,NA
1.3.1,Quais os tipos de integração física entre os diferentes modos de transporte urbano existem em seu município?,Quais os tipos de integração física entre os diferentes modos de transporte urbano existem em seu município?,text,0,0,0,0,0,Tipos de Integração Física,missing,NA,NA
1.4.1.A,Qual o número total de terminais rodoviários no município?,Qual o número total de terminais rodoviários no município?,numeric,0,1,0,0,1,Número de Rodoviárias,Infraestrutura,Ônibus,Ônibus
1.4.1.B,"Qual o número total de terminais rodoviários acessíveis com rampas, plataformas de embarque em nível?","Qual o número total de terminais rodoviários acessíveis com rampas, plataformas de embarque em nível?",numeric,0,1,0,0,1,"Número de Rodoviárias (acessibilidade, def. física)",Infraestrutura,Ônibus,Ônibus
1.4.1.C,Qual o número total de terminais rodoviários acessíveis com informações para pessoas com deficiência visual?,Qual o número total de terminais rodoviários acessíveis com informações para pessoas com deficiência visual?,numeric,0,1,0,0,1,"Número de Rodoviárias (acessibilidade, def. visual)",Infraestrutura,Ônibus,Ônibus
1.4.1.D,Qual o número total de terminais rodoviários com integração física?,Qual o número total de terminais rodoviários com integração física?,numeric,0,1,0,0,1,Número de Rodoviárias com Integração,Infraestrutura,Ônibus,Ônibus
1.4.1.E,Qual o número total de estações metroferroviárias no município?,Qual o número total de estações metroferroviárias no município?,numeric,0,1,0,0,1,Número de Metroviárias,Infraestrutura,Metrô/Trem,Metrô/Trem
1.4.1.F,"Qual o número total de estações metroferroviárias acessíveis com rampas, plataformas de embarque em nível?","Qual o número total de estações metroferroviárias acessíveis com rampas, plataformas de embarque em nível?",numeric,0,1,0,0,1,"Número de Metroviárias (acessibilidade, def. física)",Infraestrutura,Metrô/Trem,Metrô/Trem
1.4.1.G,Qual o número total de estações metroferroviárias acessíveis com informações para pessoas com deficiência visual?,Qual o número total de estações metroferroviárias acessíveis com informações para pessoas com deficiência visual?,numeric,0,1,0,0,1,"Número de Metroviárias (acessibilidade, def. visual)",Infraestrutura,Metrô/Trem,Metrô/Trem
1.4.1.H,Qual o número total de estações metroferroviárias com integração física?,Qual o número total de estações metroferroviárias com integração física?,numeric,0,1,0,0,1,Número de Metroviárias com Intregração,Infraestrutura,Metrô/Trem,Metrô/Trem
1.4.2,"Qual o número total de pontos de embarque e desembarque, considerando todos os modos de transporte?","Qual o número total de pontos de embarque e desembarque, considerando todos os modos de transporte?",numeric,0,1,0,0,1,Pontos de Embarque/Desembarque (Total),Infraestrutura,Ônibus,Ônibus
1.4.3,"Qual o número total de pontos de embarque e desembarque com abrigo para usuários, considerando todos os modos de transporte?","Qual o número total de pontos de embarque e desembarque com abrigo para usuários, considerando todos os modos de transporte?",numeric,1,1,0,0,1,Pontos de Embarque com abrigo,Infraestrutura,Ônibus,Ônibus
1.4.4,"Qual o número total de pontos de embarque e desembarque com plataforma de embarque em nível para usuários, considerando todos os modos de transporte?","Qual o número total de pontos de embarque e desembarque com plataforma de embarque em nível para usuários, considerando todos os modos de transporte?",numeric,1,1,0,0,1,Pontos de Embarque (em nível),Infraestrutura,Ônibus,Ônibus
1.4.5,O município disponibiliza o local de pontos de embarque de desembarque georreferenciados na internet?,O município disponibiliza o local de pontos de embarque de desembarque georreferenciados na internet?,binary,1,1,0,0,0,Pontos de Embarque Georreferenciados,Infraestrutura,Ônibus,Ônibus
1.4.5.A,Em qual website é possível obter os pontos de embarque e desembarque georreferenciados?,Em qual website é possível obter os pontos de embarque e desembarque georreferenciados?,text,0,0,0,0,0,NA,NA,NA,NA
1.5.1.A,Qual a frota de veículos operacionais de ônibus convencional no município?,Qual a frota de veículos operacionais de ônibus convencional no município?,numeric,0,1,0,0,1,Frota de ônibus,Frota,Ônibus,Ônibus
1.5.1.B,Qual a capacidade média da frota de ônibus convencionais operacionais no município?,Qual a capacidade média da frota de ônibus convencionais operacionais no município?,numeric,1,1,1,0,0,Ônibus (capacidade média),Frota,Ônibus,Ônibus
