"code_variable";"label";"label_pergunta";"categoria";"subcategoria";"is_dashboard";"is_tabela";"is_absolute";"is_average";"is_percentage"
"1.1.1";"Serviços de Transporte (adm. Prefeitura)";"Quais os serviços de transporte público urbano estão presentes no município, sob gestão da prefeitura, seja por operação direta ou por delegação?";"missing";NA;"0";"0";"0";"0";"0"
"1.2.1";"Serviços de Transporte (adm. Estado)";"Quais os serviços de transporte público urbano estão presentes no município em que o Governo do Estado é responsável pela gestão, seja gestão direta ou indireta?";"missing";NA;"0";"0";"0";"0";"0"
"1.2.2";"Serviços de Transporte (adm. União)";"Quais os serviços de transporte público urbano estão presentes no município em que o Governo Federal é responsável pela gestão, seja gestão direta ou indireta?";"missing";NA;"0";"0";"0";"0";"0"
"1.2.3";"Serviços de Transporte (Concessão)";"Quais os serviços de transporte público urbano estão presentes no município, sob gestão de um consórcio público ou de um convênio de cooperação para gestão do transporte metropolitano, seja de gestão direta ou indireta?";"missing";NA;"0";"0";"0";"0";"0"
"1.3.1";"Tipos de Integração Física";"Quais os tipos de integração física entre os diferentes modos de transporte urbano existem em seu município?";"missing";NA;"0";"0";"0";"0";"0"
"1.4.1.A";"Número de Rodoviárias";"Qual o número total de terminais rodoviários no município?";"Infraestrutura";"Ônibus";"0";"1";"1";"0";"0"
"1.4.1.B";"Número de Rodoviárias (acessibilidade, def. física)";"Qual o número total de terminais rodoviários acessíveis com rampas, plataformas de embarque em nível?";"Infraestrutura";"Ônibus";"0";"1";"1";"0";"0"
"1.4.1.C";"Número de Rodoviárias (acessibilidade, def. visual)";"Qual o número total de terminais rodoviários acessíveis com informações para pessoas com deficiência visual?";"Infraestrutura";"Ônibus";"0";"1";"1";"0";"0"
"1.4.1.D";"Número de Rodoviárias com Integração";"Qual o número total de terminais rodoviários com integração física?";"Infraestrutura";"Ônibus";"0";"1";"1";"0";"0"
"1.4.1.E";"Número de Metroviárias";"Qual o número total de estações metroferroviárias no município?";"Infraestrutura";"Metrô/Trem";"0";"1";"1";"0";"0"
"1.4.1.F";"Número de Metroviárias (acessibilidade, def. física)";"Qual o número total de estações metroferroviárias acessíveis com rampas, plataformas de embarque em nível?";"Infraestrutura";"Metrô/Trem";"0";"1";"1";"0";"0"
"1.4.1.G";"Número de Metroviárias (acessibilidade, def. visual)";"Qual o número total de estações metroferroviárias acessíveis com informações para pessoas com deficiência visual?";"Infraestrutura";"Metrô/Trem";"0";"1";"1";"0";"0"
"1.4.1.H";"Número de Metroviárias com Intregração";"Qual o número total de estações metroferroviárias com integração física?";"Infraestrutura";"Metrô/Trem";"0";"1";"1";"0";"0"
"1.4.2";"Pontos de Embarque/Desembarque (Total)";"Qual o número total de pontos de embarque e desembarque, considerando todos os modos de transporte?";"Infraestrutura";"Ônibus";"0";"1";"1";"0";"0"
"1.4.3";"Pontos de Embarque com abrigo";"Qual o número total de pontos de embarque e desembarque com abrigo para usuários, considerando todos os modos de transporte?";"Infraestrutura";"Ônibus";"1";"1";"1";"0";"0"
"1.4.4";"Pontos de Embarque (em nível)";"Qual o número total de pontos de embarque e desembarque com plataforma de embarque em nível para usuários, considerando todos os modos de transporte?";"Infraestrutura";"Ônibus";"1";"1";"1";"0";"0"
"1.4.5";"Pontos de Embarque Georreferenciados";"O município disponibiliza o local de pontos de embarque de desembarque georreferenciados na internet?";"Infraestrutura";"Ônibus";"1";"1";"0";"0";"0"
