categoria,subcategoria,label
Infraestrutura,Ônibus,Número de Rodoviárias
Infraestrutura,Ônibus,"Número de Rodoviárias (acessibilidade, def. física)"
Infraestrutura,Ônibus,"Número de Rodoviárias (acessibilidade, def. visual)"
Infraestrutura,Ônibus,Número de Rodoviárias com Integração
Infraestrutura,Metrô/Trem,Número de Metroviárias
Infraestrutura,Metrô/Trem,"Número de Metroviárias (acessibilidade, def. física)"
Infraestrutura,Metrô/Trem,"Número de Metroviárias (acessibilidade, def. visual)"
Infraestrutura,Metrô/Trem,Número de Metroviárias com Intregração
Infraestrutura,Ônibus,Pontos de Embarque/Desembarque (Total)
Infraestrutura,Ônibus,Pontos de Embarque com abrigo
Infraestrutura,Ônibus,Pontos de Embarque (em nível)
Infraestrutura,Ônibus,Pontos de Embarque Georreferenciados
Frota,Ônibus,Frota de ônibus
Frota,Ônibus,Ônibus (capacidade média)
Frota,Ônibus,Ônibus (piso baixo)
Frota,Ônibus,Ônibus (com plataforma)
Frota,Ônibus,Frota de Ônibus Articulados
Frota,Ônibus,Ônibus Articulados (capacidade média)
Frota,Ônibus,Ônibus Articulados (piso baixo)
Frota,Ônibus,Ônibus Articulados (com plataforma)
Frota,Ônibus,Frota de Ônibus Biarticulados
Frota,Ônibus,Ônibus Biarticulados (cap. média)
Frota,Ônibus,Ônibus Biarticulados (piso baixo)
Frota,Ônibus,Ônibus Biarticulados (com plataforma)
Frota,Vans/Microônibus,Frota de Microônibus
Frota,Vans/Microônibus,Microônibus (capacidade média)
Frota,Táxi,Frota de Táxis
Frota,Mototáxi,Frota de Mototáxis
Frota,Metrô,Frota (composição) de Metrôs
Frota,Metrô,Metrô (capacidade média)
Frota,Trem,Frota de Trens
Frota,Trem,Trem (capacidade média)
Frota,Barco,Frota de Barcos
Frota,Barco,Barcos (capacidade média)
Frota,VLT,Frota (composição) de VLTs
Frota,VLT,VLT (capacidade média)
Frota,Monotrilho,Frota (composição) de Monotrilhos
Frota,Monotrilho,Monotrilho (capacidade média)
Frota,Aeromóvel,Frota (composição) de Aeromóvel
Frota,Aeromóvel,Aeromóvel (capacidade média)
Frota,Bicicleta,Frota de Bicicletas Compartilhadas
Frota,Ônibus,Frota de Veículos Fretados para Passageiros
Frota,Ônibus,Frota de Veículos Escolares
Infraestrutura,Pedestres,Extensão de Vias Exclusivas para Pedestres
Infraestrutura,Pedestres,Extensão de Vias Exclusivas Temporárias para Pedestres
Infraestrutura,Pedestres,Extensão de Calçadas para Pedestres
Frota,Ônibus,Extensão de Vias Exclusivas para BRT
Frota,Ônibus,Extensão de Corredores Exclusivos de Ônibus
Frota,Ônibus,Extensão de Faixas Exclusivas
Frota,Bicicleta,Extensão de Ciclovias Exclusivas
Frota,Bicicleta,Extensão de Ciclofaixas Exclusivas
Infraestrutura,Metrô,Extensão da malha (metrô)
Infraestrutura,Trem,Extensão da malha (trem)
Infraestrutura,VLT,Extensão da malha (VLT)
Infraestrutura,Monotrilho,Extensão da malha (monotrilho)
Infraestrutura,Aeromóvel,Extensão da malha (aeromóvel)
Frota,Ônibus,Quilômetros Percorridos (Ônibus)
Frota,Vans/Microônibus,Quilômetros Percorridos (Microônibus)
Frota,Metrô,Quilômetros Percorridos (Metrô)
Frota,Trem,Quilômetros Percorridos (Trem)
Frota,Barco,Quilômetros Percorridos (Barco)
Frota,VLT,Quilômetros Percorridos (VLT)
Frota,Monotrilho,Quilômetros Percorridos (Monotrilho)
Frota,Aeromóvel,Quilômetros Percorridos (Aeromóvel)
Infraestrutura,Ônibus,Velocidade Média do BRT em faixas prioritárias (pico)
Infraestrutura,Ônibus,Velocidade Média do Ônibus nos Corredores (pico)
Infraestrutura,Ônibus,Velocidade Média do Ônibus nas Faixas Exclusivas (pico)
Infraestrutura,Metrô,Velocidade Média do Metrô (pico)
Infraestrutura,Trem,Velocidade Média do Trem (pico)
Infraestrutura,VLT,Velocidade Média do VLT (pico)
Infraestrutura,Monotrilho,Velocidade Média do Monotrilho (pico)
Infraestrutura,Aeromóvel,Velocidade Média do Aeromóvel (pico)
Infraestrutura,Ônibus,Velocidade Média do Transporte Público em Vias Mistas
Infraestrutura,Táxi,Táxi no Corredor de Ônibus
Frota,Ônibus,Idade Média da Frota de Ônibus
Frota,Vans/Microônibus,Idade Média da Frota de Microônibus
Frota,Metrô,Idade Média da Frota de Metrô
Frota,Trem,Idade Média da Frota de Trens
Frota,VLT,Idade Média da Frota de VLTs
Frota,Monotrilho,Idade Média da Frota de Monotrilho
Frota,Aeromóvel,Idade Média da Frota de Aeromóvel
Frota,Táxi,Idade Média da Frota de Táxis
Infraestrutura,Ônibus,Terminais Rodoviários com Itinerários
Infraestrutura,Ônibus,Terminais Rodoviários com Informações sobre Horários
Infraestrutura,Ônibus,Terminais Rodoviários com Informações sobre Tarifas
Infraestrutura,Ônibus,Terminais Rodoviários com Informações sobre Integrações
Infraestrutura,Metrô/Trem,Estações Metroviárias com Itinerários
Infraestrutura,Metrô/Trem,Estações Metroviárias com Informações sobre Horários
Infraestrutura,Metrô/Trem,Estações Metroviárias com Informações sobre Tarifas
Infraestrutura,Metrô/Trem,Estações Metroviárias com Informações sobre Integrações
Infraestrutura,Ônibus,Pontos de Embarque com Itinerários
Infraestrutura,Ônibus,Pontos de Embarque com Informações sobre Horários
Infraestrutura,Ônibus,Pontos de Embarque com Informações sobre Tarifas
Infraestrutura,Ônibus,Pontos de Embarque com Informações sobre Integrações
Outros,Governança e Leis,Existe Pesquisa de Satisfação de Usuário
Infraestrutura,Ônibus,Existe informação sobre pontualidade e regularidade (Ônibus)
Infraestrutura,Vans/Microônibus,Existe informação sobre pontualidade e regularidade (Microônibus)
Infraestrutura,Metrô,Existe informação sobre pontualidade e regularidade (Metrô)
Infraestrutura,Trem,Existe informação sobre pontualidade e regularidade (Trem)
Infraestrutura,Barco,Existe informação sobre pontualidade e regularidade (Barco)
Infraestrutura,VLT,Existe informação sobre pontualidade e regularidade (VLT)
Infraestrutura,Monotrilho,Existe informação sobre pontualidade e regularidade (Monotrilho)
Infraestrutura,Aeromóvel,Existe informação sobre pontualidade e regularidade (Aeromóvel)
Infraestrutura,Ônibus,Viagens de Ônibus Realizadas no Horário Programado (%)
Infraestrutura,Vans/Microônibus,Viagens de Microônibus Realizadas no Horário Programado (%)
Infraestrutura,Metrô,Viagens de Metrô Realizadas no Horário Programado (%)
Infraestrutura,Trem,Viagens de Trem Realizadas no Horário Programado (%)
Infraestrutura,Barco,Viagens de Barco Realizadas no Horário Programado (%)
Infraestrutura,VLT,Viagens de VLT Realizadas no Horário Programado (%)
Infraestrutura,Monotrilho,Viagens de Monotrilho Realizadas no Horário Programado (%)
Infraestrutura,Aeromóvel,Viagens de Aeromóvel Realizadas no Horário Programado (%)
Infraestrutura,Ônibus,Viagens de Ônibus Incompletas (%)
Infraestrutura,Vans/Microônibus,Viagens de Ônibus Incompletas Microônibus(%)
Infraestrutura,Metrô,Viagens de Metrô Incompletas (%)
Infraestrutura,Trem,Viagens de Trem Incompletas (%)
Infraestrutura,Barco,Viagens de Barco Incompletas (%)
Infraestrutura,VLT,Viagens de VLT Incompletas (%)
Infraestrutura,Monotrilho,Viagens de Monotrilho Incompletas (%)
Infraestrutura,Aeromóvel,Viagens de Aeromóvel Incompletas (%)
Tarifa,Valores,Valor da Tarifa
Tarifa,Valores,Valor Anterior da Tarifa
Receita,Ônibus,Receita Tarifária (Ônibus)
Receita,Ônibus,Subsídios a Passageiros (Ônibus)
Receita,Ônibus,Subsídios ao Sistema (Ônibus)
Receita,Ônibus,Receita Extratarifária com Publicidade (Ônibus)
Receita,Ônibus,Receita Extratarifária de Outras Fontes (Ônibus)
Receita,Vans/Microônibus,Receita Tarifária (Vans/Microônibus)
Receita,Vans/Microônibus,Subsídios a Passageiros (Vans/Microônibus)
Receita,Vans/Microônibus,Subsídios ao Sistema (Vans/Microônibus)
Receita,Vans/Microônibus,Receita Extratarifária com Publicidade (Vans/Microônibus)
Receita,Vans/Microônibus,Receita Extratarifária de Outras Fontes (Vans/Microônibus)
Receita,Metrô,Receita Tarifária (Metrô)
Receita,Metrô,Subsídios a Passageiros (Metrô)
Receita,Metrô,Subsídios ao Sistema (Metrô)
Receita,Metrô,Receita Extratarifária com Publicidade (Metrô)
Receita,Metrô,Receita Extratarifária de Outras Fontes (Metrô)
Receita,Trem,Receita Tarifária (Trem)
Receita,Trem,Subsídios a Passageiros (Trem)
Receita,Trem,Subsídios ao Sistema (Trem)
Receita,Trem,Receita Extratarifária com Publicidade (Trem)
Receita,Trem,Receita Extratarifária de Outras Fontes (Trem)
Receita,Barco,Receita Tarifária (Barco)
Receita,Barco,Subsídios a Passageiros (Barco)
Receita,Barco,Subsídios ao Sistema (Barco)
Receita,Barco,Receita Extratarifária com Publicidade (Barco)
Receita,Barco,Receita Extratarifária de Outras Fontes (Barco)
Receita,VLT,Receita Tarifária (VLT)
Receita,VLT,Subsídios a Passageiros (VLT)
Receita,VLT,Subsídios ao Sistema (VLT)
Receita,VLT,Receita Extratarifária com Publicidade (VLT)
Receita,VLT,Receita Extratarifária de Outras Fontes (VLT)
Receita,Monotrilho,Receita Tarifária (Monotrilho)
Receita,Monotrilho,Subsídios a Passageiros (Monotrilho)
Receita,Monotrilho,Subsídios ao Sistema (Monotrilho)
Receita,Monotrilho,Receita Extratarifária com Publicidade (Monotrilho)
Receita,Monotrilho,Receita Extratarifária de Outras Fontes (Monotrilho)
Receita,Aeromóvel,Receita Tarifária (Aeromóvel)
Receita,Aeromóvel,Subsídios a Passageiros (Aeromóvel)
Receita,Aeromóvel,Subsídios ao Sistema (Aeromóvel)
Receita,Aeromóvel,Receita Extratarifária com Publicidade (Aeromóvel)
Receita,Aeromóvel,Receita Extratarifária de Outras Fontes (Aeromóvel)
Custos,Ônibus,Impostos e taxas - Alíquota ISS (Ônibus)
Custos,Ônibus,Impostos e Taxas - Taxa de Gerenciamento (Ônibus)
Custos,Ônibus,Impostos e Taxas - PIS (Ônibus)
Custos,Ônibus,Impostos e Taxas - Cofins (Ônibus)
Custos,Ônibus,Impostos e Taxas - Alíquota Outros Impostos (Ônibus)
Custos,Ônibus,Impostos e Taxas - Outros Impostos (Ônibus)
Custos,Vans/Microônibus,Impostos e taxas - Alíquota ISS (Vans/Microônibus)
Custos,Vans/Microônibus,Impostos e Taxas - Taxa de Gerenciamento (Vans/Microônibus)
Custos,Vans/Microônibus,Impostos e Taxas - PIS (Vans/Microônibus)
